เลขบัตรประชาชน,คำนำหน้าชื่อ,ชื่อ,นามสกุล,วันเกิด,ประเภทอาชีพ,หมายเลขโทรศัพท์ติดต่อ,สอบถาม-สินเชื่อ,รับเรื่องยื่นกู้,สอบถาม-การเงิน,รายได้ต่อเดือน,หมายเหตุ,มาเป็นลูกค้ากับธนาคาร
110056201705916000,นางสาว,เบญจวรรณ,ณัฏฐธิดา,16 ม.ค. 94,technician,084-998-2291,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"22,817",,no
110056401705917000,นางสาว,แสงโสม,นันทาวนา,9 ก.ย. 96,services,082-446-6295,,,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"20,990",,yes
110056601705917000,นางสาว,วารุณี,ปิยะธิดา,24 ก.พ. 97,admin.,081-569-3996,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,ผู้กู้ต้องมีคุณสมบัติอย่างไร,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"21,207",,no
110056801705918000,นางสาว,เกวลี,ชนานุช,27 ก.ค. 93,blue-collar,061-962-9392,,ผู้กู้ต้องมีคุณสมบัติอย่างไร,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"18,540",,no
110057001705919000,นางสาว,ธนาพร,วิชุตา,1 ธ.ค. 91,management,094-296-1461,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"19,990",,no
110057201705919000,นาย,ภัทรพงษ์,ธิดารัตน์,14 ก.พ. 91,admin.,082-469-1562,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"15,452",,yes
110057401705920000,นาย,ชนาธิป,สุริยา,7 เม.ย. 92,blue-collar,091-949-8269,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"19,281",,no
110057601705920000,นาย,ปวันรัตน์,พรเทพ,18 ธ.ค. 95,technician,082-462-2995,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"15,804",,yes
110057801705921000,นาย,รอซาลี,ธนพล,10 พ.ค. 99,blue-collar,082-459-4926,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,ผู้กู้ต้องมีคุณสมบัติอย่างไร,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"22,870",,no
110058001705922000,นาย,ศุภกร,นฤเบศ,8 เม.ย. 93,management,096-165-4492,,,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"26,286",,yes
110058201705922000,นาย,ศุภชัย,รัฐนนท์,12 มิ.ย. 90,self-employed,083-922-9391,,,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"25,124",,no
110058401705923000,นางสาว,ณัฏฐวีรยา,ภาคภูมิ,7 ก.พ. 90,unemployed,082-464-9646,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"31,012",,no
110058601705923000,นางสาว,กุลธรา,กฤษิกร,28 มิ.ย. 90,technician,081-446-9245,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"28,842",,no
110058801705924000,นางสาว,มลธิญา,ธนากร,27 ธ.ค. 93,blue-collar,086-524-5414,,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"31,500",,no
110059001705925000,นางสาว,สุนิตา,วีรภัทร,3 เม.ย. 97,retired,093-559-2942,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"36,466",,no
110059201705925000,นางสาว,วัชรี,เศรษฐวุฒิ,14 พ.ย. 96,blue-collar,062-469-4629,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"22,035",,yes
110059401705926000,นางสาว,ภัชรีญา,อนุวัช,12 ก.พ. 94,blue-collar,094-641-9392,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"29,306",,yes
110059601705926000,นางสาว,ปวีณ์สุดา,อภิพล,7 มิ.ย. 93,blue-collar,091-949-8949,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"27,660",,yes
110059801705927000,นางสาว,ศิริขวัญ,ณัฐพงศ์,9 มิ.ย. 92,admin.,085-939-6529,,,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"23,209",,yes
110060001705928000,นางสาว,ภิญญดา,จิรพันธ์,11 เม.ย. 97,technician,094-269-8924,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"23,309",,yes
110060201705928000,นางสาว,ยุพาวดี,ณัฐวุฒิ,5 พ.ย. 92,management,064-296-9196,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,ผู้กู้ต้องมีคุณสมบัติอย่างไร,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"21,478",,no
110060401705929000,นางสาว,ศศิวมล,ณิชกานต์,8 ธ.ค. 99,admin.,082-495-5922,,,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"17,513",,yes
110060601705929000,นางสาว,อนัญญา,ญานิกา,18 มิ.ย. 95,management,095-979-5594,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"15,584",,no
110060801705930000,นางสาว,ยุพดี,จุฑลักษณ์,7 ธ.ค. 99,management,062-698-2978,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"19,890",,yes
110061001705931000,นางสาว,ประภัสสร,ธันทิวา,31 ต.ค. 94,management,094-462-9826,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"12,492",,no
110061201705931000,นางสาว,มาลีวรรณ,ทิพย์วรรณ,27 มิ.ย. 95,management,08-4994-2569,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,ผู้กู้ต้องมีคุณสมบัติอย่างไร,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"24,929",,no
110061401705932000,นางสาว,เกศรินทร์,อภิญญา,18 ก.ค. 93,management,098-294-6922,,,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"26,054",,yes
110061601705932000,นางสาว,นาเดีย,ณัฐตวรรณ์,17 ก.ย. 91,services,093-964-4494,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,ผู้กู้ต้องมีคุณสมบัติอย่างไร,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"18,100",,yes
110061801705933000,นางสาว,สรวงสุดา,วรางคณา,14 มี.ค. 96,management,081-454-1466,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"24,211",,yes
110062001705934000,นางสาว,ธันยพร,พรพิมล,31 ก.ค. 94,admin.,082-454-9897,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"21,793",,yes
110062201705934000,นางสาว,ทิพย์วัลย์,อริยา,17 ก.ย. 99,management,085-922-2641,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"12,643",,no
110062401705935000,นางสาว,ภัทรศยา,ปรีดา,13 เม.ย. 95,retired,092-694-4492,,,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"12,918",,no
110062601705935000,นางสาว,เกศินี,รุ้งศิริ,5 ต.ค. 99,technician,061-964-9692,,,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"10,878",,yes
110062801705936000,นางสาว,ณฐพร,สุธิมา,7 ม.ค. 94,admin.,082-454-6296,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"10,587",,yes
110063001705937000,นาย,ฐาปกรณ์,โศภิดา,16 มี.ค. 93,technician,083-699-9692,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"10,786",,yes
110063201705937000,นาย,เนกษ์วิชนาถ,แก้วกาญดา,26 มิ.ย. 99,entrepreneur,083-546-6695,,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"11,159",,yes
110063401705938000,นาย,กันต์ศุภณัช,ภิรดี,27 ธ.ค. 95,management,083-982-6224,,,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"13,281",,yes
110063601705938000,นาย,นนทวัฒน์,ทิพวัลย์,11 เม.ย. 94,unemployed,094-169-8296,,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"14,075",,yes
110063801705939000,นาย,ณัฐพล,ธนิกา,28 ก.ย. 97,entrepreneur,092-946-2696,,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"12,491",,no
110064001705940000,นาย,จิระพงศ์,ศิริลักษณ์,21 มิ.ย. 99,technician,092-949-9262,,,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"15,548",,no
110064201705940000,นางสาว,ภัชราวดี,เมวดี,5 ต.ค. 93,technician,062-691-9592,,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"11,703",,no
110064401705941000,นางสาว,กุลธรา,ขวัญจิตร,16 มิ.ย. 98,admin.,082-455-6997,,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"14,010",,no
110064601705941000,นางสาว,วราภรณ์,จันทร์เพ็ญ,24 ต.ค. 99,technician,092-991-4964,,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"9,852",,yes
110064801705942000,นางสาว,ปิยพร,จันทิมา,9 ก.พ. 98,self-employed,094-697-9198,,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"11,809",,no
110065001705943000,นางสาว,นนทพร,ศดานันท์,13 ก.ย. 96,technician,082-499-4544,,ผู้กู้ต้องมีคุณสมบัติอย่างไร,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"6,958",,yes
110065201705943000,นางสาว,สุดธิดา,ปวีณา,19 พ.ย. 96,blue-collar,081-545-6442,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"12,868",,no
110065401705944000,นางสาว,ขวัญรัตน์,ธัญญลักษณ์,27 ธ.ค. 99,admin.,081-569-6391,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,ผู้กู้ต้องมีคุณสมบัติอย่างไร,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"13,082",,yes
110065601705944000,นางสาว,จันทิมา,ปรัชญา,31 ธ.ค. 92,admin.,083-699-9635,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,,"12,409",,no
110065801705945000,นางสาว,กัญญารัตน์,เพ็ญนภา,4 ต.ค. 91,services,06-5552-6393,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,,"15,178",,yes
110066001705946000,นางสาว,สุชาวดี,อภิญญา,18 มี.ค. 97,management,086-939-6161,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,,"17,565",,no
110066201705946000,นางสาว,กชมน,ภัทรมน,16 ก.พ. 93,admin.,084-626-1928,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,,"11,540",,yes
110066401705947000,นางสาว,อุบลวรรณ,ศศิธร,6 ม.ค. 96,housemaid,083-669-9287,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,,"14,135",,no
110066601705947000,นางสาว,วิไลวรรณ,อัญชิสา,24 ก.ย. 96,blue-collar,092-979-8266,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,,"10,017",,yes
110066801705948000,นางสาว,จุฑามาส,ณัฐพร,21 มิ.ย. 98,technician,082-449-2492,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,,"9,779",,no
110067001705949000,นางสาว,ภัททิรา,ภิทักษ์,24 ส.ค. 95,blue-collar,094-169-8292,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,,"10,349",,yes
110067201705949000,นางสาว,ปวีณา,ฉัตรชัย,13 ม.ค. 91,technician,081-546-9879,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,ระยะเวลาการกู้สูงสุดกี่ปี,,"8,722",,no
110067401705950000,นางสาว,เบญจมาภรณ์,ธไนศวรรย์,2 ก.พ. 90,management,095-696-2294,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,,"14,177",,no
110067601705950000,นางสาว,รัตมล,ศุภกฤต,1 ธ.ค. 95,admin.,083-669-6641,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,,"10,044",,yes
110067801705951000,นางสาว,เสาวลักษณ์,สุไวมี,26 ก.ย. 98,admin.,082-446-6946,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,,"8,522",,yes
110068001705952000,นางสาว,สุภาภรณ์,กิตติศักดิ์,17 พ.ค. 99,management,083-626-5441,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,,"7,387",,no
110068201705952000,นางสาว,สุพิตรา,เพชรฎา,1 พ.ค. 91,admin.,082-495-5924,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,,"7,491",,yes
110068401705953000,นางสาว,รัชกร ,วาศิณี,25 ก.ย. 95,admin.,063-992-2955,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,,"8,924",,yes
110068601705953000,นางสาว,สลินทิพย์ ,ดาราวดี,28 ก.ย. 94,admin.,094-296-4964,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,ผู้กู้ต้องมีคุณสมบัติอย่างไร,,"5,934",,yes
110068801705954000,นางสาว,วีร์ชัญญา,ธัญลักษณ์,6 ก.พ. 99,unknown,093-949-2295,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,ผู้กู้ต้องมีคุณสมบัติอย่างไร,,"9,500",,no
110069001705955000,นางสาว,นิตติยา,พรธิตา,27 ส.ค. 91,admin.,094-926-3662,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,,"7,887",,yes
110069201705955000,นางสาว,ธัญลักษณ์,พุฒิฌา,8 เม.ย. 96,technician,092-914-9644,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,ระยะเวลาการกู้สูงสุดกี่ปี,,"9,769",,yes
110069401705956000,นาย,ณัฎฐกร,มัณฑนา,21 ก.พ. 94,services,091-949-6362,,ระยะเวลาการกู้สูงสุดกี่ปี,,"9,423",,no
110069601705956000,นาย,วิวรรธน์,วิภาวี,1 มี.ค. 92,admin.,094-598-9936,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,,,"10,475",,yes
110069801705957000,นาย,สุกฤษฎิ์,สุรีรัตน์,13 พ.ย. 97,admin.,083-669-7892,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,,"12,068",,no
110070001705958000,นาย,กฤษกร,นันทวรรณ,27 พ.ค. 95,services,096-936-9891,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,,"11,185",,yes
110070201705958000,นางสาว,ธารารัตน์,ภัศรา,28 พ.ค. 97,self-employed,083-595-6926,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,,"8,051",,yes
110070401705959000,นางสาว,กรรณิการ์,ณัฐลิกา,1 มี.ค. 94,admin.,081-569-3992,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,,"8,546",,yes
110070601705959000,นางสาว,เจนจิรา,อาภัสรา,20 ธ.ค. 97,services,082-444-9698,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,ผู้กู้ต้องมีคุณสมบัติอย่างไร,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"9,418",,yes
110070801705960000,นางสาว,ปริศนา,นิรมล,24 มิ.ย. 94,technician,094-262-9228,,,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"8,365",,yes
110071001705961000,นางสาว,เนตรยา,สุวรรณี,2 ธ.ค. 99,retired,099-892-9641,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"6,398",,yes
110071201705961000,นางสาว,สาฝีย๊ะ,สาวิตรี,11 ก.พ. 97,blue-collar,082-469-5942,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"7,669",,yes
110071401705962000,นางสาว,ซูไรญา,จันทร์จิรา,24 ธ.ค. 92,self-employed,091-949-9662,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"10,267",,yes
110071601705962000,นางสาว,วันวิสา,เกศริน,25 มิ.ย. 93,management,083-566-9942,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"7,478",,no
110071801705963000,นางสาว,เพชรี,ราตรี,14 พ.ย. 94,services,061-962-9826,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"6,220",,no
110072001705964000,นางสาว,สิตารัตน์,พิยดา,1 ส.ค. 93,student,096-282-9949,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"8,139",,no
